Climate_Factor,Mean_Absolute_SHAP
Soil_Moisture,1824.5112165288626
Rainfall_Precipitation,1454.4022407246382
Solar_Radiation,1315.2305016813987
Relative_Humidity,782.9725328985974
Temperature_Min,560.9761327729374
Temperature_Avg,419.1636178930476
Temperature_Max,227.96969834130724
Wind_Speed,223.17277760718017
