Model,MAE (kg/ha),MSE,RMSE (kg/ha),R² Score,Training Time (s)
Linear Regression,1415.13,14607275.56,3821.95,0.9479,0.08
Ridge Regression,1418.53,14674287.24,3830.7,0.9477,0.02
ANN,1367.33,15298396.23,3911.32,0.9455,34.22
LightGBM,1375.14,15612665.58,3951.29,0.9444,0.5
Random Forest,1358.9,15790675.12,3973.75,0.9437,4.16
XGBoost,1374.99,16165813.95,4020.67,0.9424,0.71
1D CNN,2844.88,85282403.2,9234.85,0.6961,243.98
